name,datetime,order_type,volume,min_price,max_price,avg_price,mod_rank,median,item_id,range
akbolto_prime_set,2023-08-21T00:00:00.000+00:00,closed,8,71.0,80.0,75.5,,75.0,5a311f84c2c9e90dfff475f1,9.0
akbolto_prime_set,2023-08-21T00:00:00.000+00:00,buy,123,35.0,65.0,50.0,,60.0,5a311f84c2c9e90dfff475f1,30.0
akbolto_prime_set,2023-08-21T00:00:00.000+00:00,sell,292,70.0,100.0,85.0,,85.0,5a311f84c2c9e90dfff475f1,30.0
akbolto_prime_set,2023-08-17T00:00:00.000+00:00,closed,5,70.0,75.0,72.5,,74.0,5a311f84c2c9e90dfff475f1,5.0
akbolto_prime_set,2023-08-17T00:00:00.000+00:00,buy,158,15.0,65.0,40.0,,45.0,5a311f84c2c9e90dfff475f1,50.0
akbolto_prime_set,2023-08-17T00:00:00.000+00:00,sell,308,65.0,110.0,87.5,,80.0,5a311f84c2c9e90dfff475f1,45.0
akbolto_prime_set,2023-08-16T00:00:00.000+00:00,closed,6,69.0,70.0,69.5,,70.0,5a311f84c2c9e90dfff475f1,1.0
akbolto_prime_set,2023-08-16T00:00:00.000+00:00,buy,130,35.0,63.0,49.0,,53.0,5a311f84c2c9e90dfff475f1,28.0
akbolto_prime_set,2023-08-16T00:00:00.000+00:00,sell,325,65.0,110.0,87.5,,85.0,5a311f84c2c9e90dfff475f1,45.0
akbolto_prime_set,2023-08-15T00:00:00.000+00:00,closed,9,70.0,80.0,75.0,,75.0,5a311f84c2c9e90dfff475f1,10.0
akbolto_prime_set,2023-08-15T00:00:00.000+00:00,buy,146,20.0,65.0,42.5,,45.0,5a311f84c2c9e90dfff475f1,45.0
akbolto_prime_set,2023-08-15T00:00:00.000+00:00,sell,305,65.0,110.0,87.5,,85.0,5a311f84c2c9e90dfff475f1,45.0
akbronco_prime_link,2023-08-24T00:00:00.000+00:00,closed,11,3.0,4.0,3.5,,3.5,54a73e65e779893a797fff23,1.0
akbronco_prime_link,2023-08-24T00:00:00.000+00:00,buy,19390,1.0,4.0,2.5,,2.0,54a73e65e779893a797fff23,3.0
akbronco_prime_link,2023-08-24T00:00:00.000+00:00,sell,141,3.0,6.0,4.5,,4.0,54a73e65e779893a797fff23,3.0
akbronco_prime_link,2023-08-23T00:00:00.000+00:00,closed,24,3.0,5.0,4.0,,4.0,54a73e65e779893a797fff23,2.0
akbronco_prime_link,2023-08-23T00:00:00.000+00:00,buy,9278,1.0,4.0,2.5,,2.0,54a73e65e779893a797fff23,3.0
akbronco_prime_link,2023-08-23T00:00:00.000+00:00,sell,152,3.0,6.0,4.5,,4.0,54a73e65e779893a797fff23,3.0
akbronco_prime_link,2023-08-22T00:00:00.000+00:00,closed,22,2.0,5.0,3.5,,3.0,54a73e65e779893a797fff23,3.0
akbronco_prime_link,2023-08-22T00:00:00.000+00:00,buy,5997,1.0,4.0,2.5,,2.0,54a73e65e779893a797fff23,3.0
akbronco_prime_link,2023-08-22T00:00:00.000+00:00,sell,167,3.0,6.0,4.5,,4.0,54a73e65e779893a797fff23,3.0
akbronco_prime_link,2023-08-21T00:00:00.000+00:00,closed,16,3.0,4.0,3.5,,3.0,54a73e65e779893a797fff23,1.0
akbronco_prime_link,2023-08-21T00:00:00.000+00:00,buy,3917,1.0,4.0,2.5,,2.0,54a73e65e779893a797fff23,3.0
akbronco_prime_link,2023-08-21T00:00:00.000+00:00,sell,159,2.0,6.0,4.0,,4.0,54a73e65e779893a797fff23,4.0
akbronco_prime_link,2023-08-17T00:00:00.000+00:00,closed,10,1.0,5.0,3.0,,3.0,54a73e65e779893a797fff23,4.0
akbronco_prime_link,2023-08-17T00:00:00.000+00:00,buy,3872,1.0,4.0,2.5,,2.0,54a73e65e779893a797fff23,3.0
akbronco_prime_link,2023-08-17T00:00:00.000+00:00,sell,137,3.0,6.0,4.5,,4.0,54a73e65e779893a797fff23,3.0
akbronco_prime_link,2023-08-16T00:00:00.000+00:00,closed,8,1.0,5.0,3.0,,3.0,54a73e65e779893a797fff23,4.0
akbronco_prime_link,2023-08-16T00:00:00.000+00:00,buy,6077,1.0,3.0,2.0,,2.0,54a73e65e779893a797fff23,2.0
akbronco_prime_link,2023-08-16T00:00:00.000+00:00,sell,131,3.0,6.0,4.5,,4.0,54a73e65e779893a797fff23,3.0
akbronco_prime_link,2023-08-15T00:00:00.000+00:00,closed,6,2.0,5.0,3.5,,4.0,54a73e65e779893a797fff23,3.0
